verse_id	version	heading_plain
24034001	KJV	Rebukes the King
24035001	KJV	Commends the Rechabites
24036001	KJV	The Burning of the Scroll
24037001	KJV	The King's Appeal
24037010	KJV	Jeremiah Imprisoned
24038003	KJV	Condemned to Death
24038006	KJV	Rescued by an Ethiopian
24038013	KJV	A Secret Interview
24039001	KJV	Jerusalem Destroyed
24039010	KJV	Jeremiah Spared
24040001	KJV	Stays with the Remnant
24040012	KJV	Murder of the Governor
24042001	KJV	Jeremiah's Counsel
24043001	KJV	Jeremiah Taken to Egypt
24044001	KJV	The Prophet in Egypt
24044014	KJV	A Protest
24044019	KJV	The Prophet's Answer
24045001	KJV	A Word for Baruch
24046001	KJV	Concerning the Foreign Nations
24046009	KJV	The Day of the Lord
24047001	KJV	Philistia
24049001	KJV	Ammon
24049006	KJV	Edom
24049027	KJV	Kedar
24049033	KJV	Elam
26001003	KJV	His Vision
26002001	KJV	His Call
26003015	KJV	His Mission
26004001	KJV	Before the fall of Jerusalem
26004001	KJV	Symbols of its Fall
26005004	KJV	The City's Destruction
26006001	KJV	The Desolation of the Land
26007001	KJV	A Day of Doom
26008001	KJV	Abominations in the Temple
26009001	KJV	Slaughter of the People
26010001	KJV	Burning of the City
26011001	KJV	Abandoned by God
26012001	KJV	The March of Exiles
26013001	KJV	Woe to the False Prophets
26014001	KJV	The Certainty of Judgement
26015001	KJV	Jerusalem a Fruitless Vine
26016001	KJV	A Foundling
26016014	KJV	Shameful Ingratitude
26017001	KJV	The Eagle and the Cedar
26018001	KJV	Personal Responsibility
26019001	KJV	A Lamentation
26020001	KJV	A Long Record of Sin
26021001	KJV	The Sword of Justice
26022001	KJV	The City of Blood
26023001	KJV	The Two Sisters
26024001	KJV	The End of the Siege
26025001	KJV	Judgement upon the Nations
26025007	KJV	Moab
26025011	KJV	Edom
26025014	KJV	Philistia
26028001	KJV	The King of Tyre
26029001	KJV	Egypt
26030001	KJV	Desolation of Egypt
26031001	KJV	Pharaoh's Greatness
26032001	KJV	Pharaoh's Doom
26033001	KJV	After the fall of Jerusalem
26033020	KJV	News of Jerusalem
26034001	KJV	Government to be Replaced
26035001	KJV	Land to be Restored
26036015	KJV	People to be Renewed
26037001	KJV	The Breath of the Lord
26038001	KJV	Final Triumph
26038009	KJV	Gog's Evil Design
26040001	KJV	The Temple of the Holy City
26040004	KJV	The Temple Buildings
26040038	KJV	Its Tables
26041001	KJV	The Holy of Holies
26041014	KJV	Interior of the Temple
26042014	KJV	The Whole Enclosure
26043001	KJV	The Return of the Lord
26043012	KJV	The Altar
26044001	KJV	Temple Officers
26044008	KJV	The Levites
26044014	KJV	The Priests
26045006	KJV	The Prince's Portion
26045017	KJV	The Festivals
26046001	KJV	The Sabbath
26046005	KJV	The New Moon
26046012	KJV	The Daily Offering
26046018	KJV	The Temple Kitchens
26047001	KJV	The River of Life
26047012	KJV	Boundaries of the Land
26048001	KJV	Tribal Allotments
