verse_id	version
7015001	KJV
7015008	KJV
7015013	KJV
7016001	KJV
7016003	KJV
7016009	KJV
7016012	KJV
7016014	KJV
7016017	KJV
7016022	KJV
7016027	KJV
7017001	KJV
7017006	KJV
7018001	KJV
7018006	KJV
7018010	KJV
7018013	KJV
7018020	KJV
7018026	KJV
7018029	KJV
7019001	KJV
7019004	KJV
7019009	KJV
7019015	KJV
7019021	KJV
7019026	KJV
7020001	KJV
7020007	KJV
7020011	KJV
7020016	KJV
7020018	KJV
7020023	KJV
7020028	KJV
7020035	KJV
7021001	KJV
7021007	KJV
7021012	KJV
7021015	KJV
7021024	KJV
8001001	KJV
8001005	KJV
8001014	KJV
8001018	KJV
8002001	KJV
8002007	KJV
8002013	KJV
8002016	KJV
8003001	KJV
8003005	KJV
8003013	KJV
8004001	KJV
8004006	KJV
8004012	KJV
8004017	KJV
9001001	KJV
9001008	KJV
9001011	KJV
9001018	KJV
9001020	KJV
9002001	KJV
9002011	KJV
9002017	KJV
9002021	KJV
9002026	KJV
9003001	KJV
9003009	KJV
9003014	KJV
9003018	KJV
9004001	KJV
9004004	KJV
9004011	KJV
9004018	KJV
9005001	KJV
9005005	KJV
9005009	KJV
9006001	KJV
9006009	KJV
9006016	KJV
9006018	KJV
9007001	KJV
9007002	KJV
9007004	KJV
9007011	KJV
9007014	KJV
9008001	KJV
9008003	KJV
9008009	KJV
9008018	KJV
9009001	KJV
9009010	KJV
9009014	KJV
9009021	KJV
9009024	KJV
9010001	KJV
9010008	KJV
9010013	KJV
9010016	KJV
9010025	KJV
9011001	KJV
9011003	KJV
9011005	KJV
9011011	KJV
9012001	KJV
9012005	KJV
9012018	KJV
9013001	KJV
9013004	KJV
9013007	KJV
9013014	KJV
9013018	KJV
9014001	KJV
9014005	KJV
9014016	KJV
9014023	KJV
9014030	KJV
9014035	KJV
9014042	KJV
9014046	KJV
9014048	KJV
9014051	KJV
9015001	KJV
9015003	KJV
9015009	KJV
9015016	KJV
9015023	KJV
9015031	KJV
9015033	KJV
9016001	KJV
9016005	KJV
9016013	KJV
9017001	KJV
9017011	KJV
9017016	KJV
9017019	KJV
9017027	KJV
9017030	KJV
9017040	KJV
9017049	KJV
9017054	KJV
9018001	KJV
9018005	KJV
9018009	KJV
9018016	KJV
9018021	KJV
9018029	KJV
9019001	KJV
9019007	KJV
9019017	KJV
9020001	KJV
9020010	KJV
9020016	KJV
9020023	KJV
9020029	KJV
9020034	KJV
9021001	KJV
9021006	KJV
9022001	KJV
9022002	KJV
9022005	KJV
9022010	KJV
9022019	KJV
9023001	KJV
9023006	KJV
9023014	KJV
